Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-03 00:00:00-04:00,152.8800048828125,154.5469970703125,150.66000366210938,152.63999938964844,2533600,0.0,0.0
2025-10-06 00:00:00-04:00,155.60000610351562,160.5399932861328,154.6490020751953,156.22000122070312,5095900,0.0,0.0
2025-10-07 00:00:00-04:00,157.0,161.0,154.35000610351562,159.34500122070312,5179100,0.0,0.0
2025-10-08 00:00:00-04:00,158.5,168.50999450683594,156.5,166.77000427246094,9048800,0.0,0.0
2025-10-09 00:00:00-04:00,164.50999450683594,171.86000061035156,161.2100067138672,170.66000366210938,8685600,0.0,0.0
2025-10-10 00:00:00-04:00,170.60000610351562,171.58999633789062,153.22000122070312,154.80999755859375,8384000,0.0,0.0
2025-10-13 00:00:00-04:00,160.80499267578125,175.0,157.0,171.94000244140625,11188200,0.0,0.0
2025-10-14 00:00:00-04:00,171.59500122070312,180.33999633789062,167.5399932861328,168.16000366210938,12821200,0.0,0.0
2025-10-15 00:00:00-04:00,172.05999755859375,174.0,167.10000610351562,170.6699981689453,7692800,0.0,0.0
2025-10-16 00:00:00-04:00,173.5800018310547,175.97000122070312,168.62600708007812,171.19000244140625,4581200,0.0,0.0
2025-10-17 00:00:00-04:00,169.72999572753906,169.72999572753906,163.61000061035156,165.61000061035156,4645300,0.0,0.0
2025-10-20 00:00:00-04:00,167.5,173.0399932861328,167.4149932861328,171.5,3654100,0.0,0.0
2025-10-21 00:00:00-04:00,170.52999877929688,173.84500122070312,167.05999755859375,169.3800048828125,4776100,0.0,0.0
2025-10-22 00:00:00-04:00,168.05999755859375,170.8350067138672,160.8520050048828,165.7100067138672,4302300,0.0,0.0
2025-10-23 00:00:00-04:00,164.55999755859375,169.2899932861328,164.07000732421875,166.60000610351562,2775700,0.0,0.0
2025-10-24 00:00:00-04:00,170.19000244140625,174.4499969482422,169.66000366210938,170.67999267578125,3665200,0.0,0.0
2025-10-27 00:00:00-04:00,174.48500061035156,183.16000366210938,174.27000427246094,178.6199951171875,6552400,0.0,0.0
2025-10-28 00:00:00-04:00,178.00999450683594,179.1199951171875,172.92999267578125,173.08999633789062,3335500,0.0,0.0
2025-10-29 00:00:00-04:00,175.27000427246094,177.25,169.3699951171875,170.38999938964844,3098300,0.0,0.0
2025-10-30 00:00:00-04:00,168.6199951171875,168.99899291992188,165.3000030517578,165.4499969482422,2856000,0.0,0.0
2025-10-31 00:00:00-04:00,168.5,171.8800048828125,166.93499755859375,169.82000732421875,3704400,0.0,0.0
2025-11-03 00:00:00-05:00,171.3000030517578,173.5399932861328,168.36000061035156,168.67999267578125,2230100,0.0,0.0
2025-11-04 00:00:00-05:00,162.0,166.13999938964844,160.39999389648438,160.72999572753906,3936600,0.0,0.0
2025-11-05 00:00:00-05:00,158.74000549316406,164.3300018310547,156.3300018310547,160.19000244140625,6941800,0.0,0.0
2025-11-06 00:00:00-05:00,167.0,167.47999572753906,155.17999267578125,158.25,7123700,0.0,0.0
2025-11-07 00:00:00-05:00,154.74000549316406,155.22999572753906,146.2899932861328,152.3800048828125,5794600,0.0,0.0
2025-11-10 00:00:00-05:00,158.47999572753906,159.31500244140625,154.5500030517578,154.83999633789062,3274200,0.0,0.0
2025-11-11 00:00:00-05:00,153.0,153.0,146.70199584960938,149.74000549316406,4075300,0.0,0.0
2025-11-12 00:00:00-05:00,151.07000732421875,152.47999572753906,146.8470001220703,148.75,2602100,0.0,0.0
2025-11-13 00:00:00-05:00,146.9949951171875,147.63499450683594,138.3800048828125,140.30999755859375,6496000,0.0,0.0
2025-11-14 00:00:00-05:00,136.91000366210938,143.7449951171875,135.10000610351562,139.77000427246094,3717900,0.0,0.0
2025-11-17 00:00:00-05:00,139.57000732421875,143.8000030517578,138.19000244140625,140.25999450683594,2977500,0.0,0.0
2025-11-18 00:00:00-05:00,138.18499755859375,139.5399932861328,133.24000549316406,136.0399932861328,3993000,0.0,0.0
2025-11-19 00:00:00-05:00,137.60000610351562,138.55999755859375,134.9199981689453,136.99000549316406,3499400,0.0,0.0
2025-11-20 00:00:00-05:00,142.27999877929688,143.32000732421875,131.85000610351562,132.52999877929688,4609700,0.0,0.0
2025-11-21 00:00:00-05:00,132.52999877929688,133.27000427246094,125.16999816894531,131.57000732421875,6166800,0.0,0.0
2025-11-24 00:00:00-05:00,132.8249969482422,136.01499938964844,132.5500030517578,134.7100067138672,3417600,0.0,0.0
2025-11-25 00:00:00-05:00,132.0,132.5,126.91999816894531,131.44000244140625,4858100,0.0,0.0
2025-11-26 00:00:00-05:00,133.5,134.64999389648438,132.36000061035156,132.61000061035156,2806700,0.0,0.0
2025-11-28 00:00:00-05:00,133.7899932861328,135.66000366210938,132.6999969482422,135.55999755859375,1559100,0.0,0.0
2025-12-01 00:00:00-05:00,133.42999267578125,136.5800018310547,133.0,135.00999450683594,2365000,0.0,0.0
2025-12-02 00:00:00-05:00,136.02999877929688,139.35000610351562,135.74000549316406,136.47999572753906,2184900,0.0,0.0
2025-12-03 00:00:00-05:00,137.36000061035156,139.55999755859375,135.80799865722656,139.19000244140625,2152000,0.0,0.0
2025-12-04 00:00:00-05:00,139.69500732421875,141.39999389648438,138.21800231933594,140.49000549316406,2390200,0.0,0.0
2025-12-05 00:00:00-05:00,143.2100067138672,144.25,140.49000549316406,141.30999755859375,2445200,0.0,0.0
2025-12-08 00:00:00-05:00,143.0,143.41400146484375,138.30999755859375,139.77999877929688,2168100,0.0,0.0
2025-12-09 00:00:00-05:00,139.57000732421875,142.22000122070312,138.36000061035156,141.92999267578125,2303400,0.0,0.0
2025-12-10 00:00:00-05:00,141.74000549316406,142.8000030517578,140.0,141.52000427246094,1765800,0.0,0.0
2025-12-11 00:00:00-05:00,137.99000549316406,138.25999450683594,133.0919952392578,136.13999938964844,4227500,0.0,0.0
2025-12-12 00:00:00-05:00,135.30999755859375,137.0,130.41099548339844,130.88999938964844,3965900,0.0,0.0
2025-12-15 00:00:00-05:00,126.37999725341797,128.74000549316406,123.1449966430664,124.37000274658203,6924800,0.0,0.0
2025-12-16 00:00:00-05:00,123.5,124.0,117.83000183105469,121.0999984741211,6198800,0.0,0.0
2025-12-17 00:00:00-05:00,121.57499694824219,121.63500213623047,112.62999725341797,114.58000183105469,8686600,0.0,0.0
2025-12-18 00:00:00-05:00,117.12999725341797,118.06500244140625,113.43000030517578,113.51000213623047,5194900,0.0,0.0
2025-12-19 00:00:00-05:00,114.21499633789062,115.20999908447266,113.41999816894531,114.02999877929688,7854500,0.0,0.0
2025-12-22 00:00:00-05:00,117.16999816894531,117.20999908447266,112.66999816894531,113.29000091552734,7754300,0.0,0.0
2025-12-23 00:00:00-05:00,112.72000122070312,112.9000015258789,110.29000091552734,112.0199966430664,7045300,0.0,0.0
2025-12-24 00:00:00-05:00,112.08999633789062,112.31999969482422,110.58000183105469,111.55000305175781,2160500,0.0,0.0
2025-12-26 00:00:00-05:00,111.46499633789062,111.5999984741211,110.0999984741211,110.2699966430664,3054300,0.0,0.0
2025-12-29 00:00:00-05:00,108.7300033569336,111.29000091552734,108.37999725341797,110.51000213623047,3347700,0.0,0.0
2025-12-30 00:00:00-05:00,111.12999725341797,112.0,110.38999938964844,110.86000061035156,3616900,0.0,0.0
