type,symbol,price,quantity,value,commission,date,reason,pnl,pnl_rate
BUY,002049.SZ,76.13606,1900,144658.514,144.658514,,多因子得分: 0.24,,
SELL,002049.SZ,73.64628,1900,139927.932,139.927932,,多因子得分转负: -0.46,-4875.240514000005,-0.03366805042568147
BUY,300474.SZ,78.89881999999999,1800,142017.876,142.017876,,多因子得分: 1.29,,
BUY,603501.SH,125.86573999999997,1000,125865.73999999998,125.86573999999997,,多因子得分: 0.70,,
BUY,002281.SZ,68.65858999999999,1500,102987.88499999998,102.98788499999998,,多因子得分: 0.58,,
BUY,002049.SZ,76.56648999999999,1200,91879.78799999999,91.87978799999999,,多因子得分: 0.69,,
BUY,300661.SZ,66.53647,1100,73190.117,73.190117,,多因子得分: 0.34,,
SELL,300474.SZ,74.95497,1800,134918.946,134.918946,,多因子得分转负: -0.37,-7240.947875999991,-0.05093523692635815
BUY,688981.SH,120.57045,700,84399.315,84.399315,,多因子得分: 1.96,,
SELL,002281.SZ,69.5304,1500,104295.6,104.29560000000001,,多因子得分转负: -0.35,1204.7271150000306,0.011686069593609212
BUY,002594.SZ,100.31020999999998,900,90279.18899999998,90.27918899999999,,多因子得分: 1.31,,
SELL,002594.SZ,97.5024,900,87752.15999999999,87.75215999999999,,多因子得分转负: -0.25,-2617.3081889999885,-0.0289623059806672
BUY,002371.SZ,507.17666999999994,100,50717.666999999994,50.71766699999999,,多因子得分: 1.05,,
SELL,300661.SZ,70.44948,1100,77494.428,77.494428,,多因子得分转负: -0.33,4231.120882999996,0.057752250744605105
SELL,688981.SH,123.50636999999999,700,86454.45899999999,86.45445899999999,,多因子得分转负: -0.62,1970.7446849999833,0.023326918104618413
BUY,002230.SZ,62.702639999999995,1700,106594.488,106.594488,,多因子得分: 2.32,,
BUY,300033.SZ,399.08868999999993,200,79817.73799999998,79.81773799999999,,多因子得分: 1.81,,
SELL,300033.SZ,364.62501000000003,200,72925.00200000001,72.925002,,多因子得分转负: -0.93,-6972.553737999973,-0.08726867391118155
BUY,688307.SH,47.90785999999999,1900,91024.93399999998,91.02493399999999,,多因子得分: 0.41,,
SELL,002230.SZ,58.57137,1700,99571.329,99.571329,,多因子得分转负: -0.62,-7129.753488000002,-0.06681987962776142
BUY,300474.SZ,78.10803,1100,85918.833,85.918833,,多因子得分: 1.16,,
SELL,002371.SZ,500.05944,100,50005.944,50.00594400000001,,多因子得分转负: -0.54,-762.440666999988,-0.015018020998717787
BUY,688195.SH,206.80659999999997,400,82722.63999999998,82.72263999999998,,多因子得分: 0.75,,
SELL,603501.SH,124.49538000000001,1000,124495.38,124.49538000000001,,多因子得分转负: -0.46,-1496.2257399999653,-0.011875598625892754
SELL,688307.SH,47.24271,1900,89761.149,89.761149,,多因子得分转负: -0.39,-1354.8099339999753,-0.014869073978372269
BUY,300661.SZ,77.14706999999999,1300,100291.19099999998,100.29119099999998,,多因子得分: 0.82,,
BUY,300394.SZ,210.27005999999997,400,84108.02399999999,84.10802399999999,,多因子得分: 0.77,,
SELL,002049.SZ,84.17574,1200,101010.888,101.01088800000001,,多因子得分转负: -0.42,9039.220212000015,0.09828266062148552
SELL,688195.SH,189.3105,400,75724.2,75.7242,,多因子得分转负: -0.96,-7081.162639999995,-0.08551574939398147
BUY,300570.SZ,125.22509999999998,800,100180.07999999999,100.18007999999999,,多因子得分: 1.73,,
BUY,688205.SH,166.16599999999997,500,83082.99999999999,83.08299999999998,,多因子得分: 1.14,,
SELL,300474.SZ,74.20572,1100,81626.292,81.626292,,多因子得分转负: -0.73,-4378.459833000001,-0.0509095106919428
BUY,300502.SZ,439.43899999999996,200,87887.79999999999,87.88779999999998,,多因子得分: 1.45,,
SELL,300661.SZ,69.91002,1300,90883.026,90.883026,,多因子得分转负: -1.19,-9508.456190999976,-0.09471377435099172
BUY,688195.SH,247.24699999999999,300,74174.09999999999,74.1741,,多因子得分: 1.49,,
SELL,300502.SZ,398.8008,200,79760.16,79.76016,,多因子得分转负: -0.36,-8215.527799999982,-0.09338407013852278
BUY,300750.SZ,363.30294,200,72660.58799999999,72.66058799999999,,多因子得分: 0.62,,
SELL,300570.SZ,116.40348,800,93122.784,93.122784,,多因子得分转负: -0.20,-7157.476079999993,-0.07137472593599195
SELL,688205.SH,165.19464000000002,500,82597.32,82.59732000000001,,多因子得分转负: -0.39,-568.7629999999772,-0.006838881662852599
SELL,688195.SH,220.78898999999998,300,66236.697,66.236697,,多因子得分转负: -0.41,-8011.577099999995,-0.10790253641734139
BUY,300570.SZ,137.87774,800,110302.192,110.30219199999999,,多因子得分: 1.43,,
BUY,000977.SZ,62.06199999999999,1600,99299.19999999998,99.29919999999998,,多因子得分: 0.63,,
BUY,002594.SZ,90.90080999999999,900,81810.72899999999,81.810729,,多因子得分: 0.33,,
SELL,300750.SZ,361.58805,200,72317.61,72.31761,,多因子得分转负: -0.24,-415.63858799998707,-0.005714561030463334
BUY,002371.SZ,496.4959999999999,100,49649.59999999999,49.64959999999999,,多因子得分: 0.73,,
SELL,002594.SZ,89.76015,900,80784.135,80.78413499999999,,多因子得分转负: -0.38,-1108.4047290000017,-0.013534868165866524
BUY,603501.SH,123.12299999999999,700,86186.09999999999,86.1861,,多因子得分: 1.19,,
SELL,300570.SZ,135.72414,800,108579.312,108.579312,,多因子得分转负: -0.73,-1833.182191999993,-0.0166030321605833
SELL,002371.SZ,471.40812,100,47140.812,47.140812,,多因子得分转负: -0.34,-2558.43759999999,-0.051478394957496315
BUY,688307.SH,60.08002,1600,96128.03199999999,96.12803199999999,,多因子得分: 2.45,,
BUY,002594.SZ,96.88678999999999,800,77509.43199999999,77.50943199999999,,多因子得分: 2.29,,
SELL,000977.SZ,61.19874,1600,97917.984,97.917984,,多因子得分转负: -0.46,-1480.5151999999798,-0.014894744004343883
BUY,300474.SZ,72.75268,1200,87303.216,87.303216,,多因子得分: 1.00,,
SELL,300394.SZ,334.22544,400,133690.176,133.690176,,多因子得分转负: -0.58,49498.043976000015,0.5879176923787842
SELL,603501.SH,116.23365,700,81363.555,81.36355499999999,,多因子得分转负: -0.32,-4908.7311000000045,-0.056898122466700285
BUY,002281.SZ,77.92784999999999,1300,101306.20499999999,101.30620499999999,,多因子得分: 0.51,,
SELL,300474.SZ,67.96197000000001,1200,81554.36400000002,81.55436400000002,,多因子得分转负: -0.82,-5836.155215999985,-0.06678247558610986
BUY,300502.SZ,401.64124,200,80328.24799999999,80.32824799999999,,多因子得分: 0.61,,
BUY,000977.SZ,61.83177,1400,86564.478,86.56447800000001,,多因子得分: 0.52,,
SELL,688307.SH,55.104839999999996,1600,88167.74399999999,88.167744,,多因子得分转负: -0.92,-8056.416031999994,-0.08372550125998272
SELL,300502.SZ,383.616,200,76723.2,76.7232,,多因子得分转负: -0.32,-3685.3762480000005,-0.045833124026887204
BUY,300661.SZ,73.17309999999999,1400,102442.33999999998,102.44233999999999,,多因子得分: 2.28,,
BUY,300750.SZ,376.67629999999997,200,75335.26,75.33525999999999,,多因子得分: 1.67,,
SELL,002281.SZ,83.4165,1300,108441.45,108.44145,,多因子得分转负: -0.52,7033.938795000009,0.06936309462107373
SELL,000977.SZ,60.5394,1400,84755.16,84.75516,,多因子得分转负: -0.49,-1895.8824779999995,-0.021879511472482845
BUY,300033.SZ,327.30698,300,98192.094,98.192094,,多因子得分: 0.85,,
BUY,300502.SZ,431.33089999999993,200,86266.18,86.26617999999999,,多因子得分: 0.98,,
SELL,300661.SZ,70.83909,1400,99174.726,99.17472599999999,,多因子得分转负: -0.58,-3370.056339999981,-0.03286424002370145
BUY,300308.SZ,612.612,100,61261.2,61.261199999999995,,多因子得分: 1.55,,
SELL,300033.SZ,306.78290999999996,300,92034.87299999999,92.03487299999999,,多因子得分转负: -0.55,-6255.413094000003,-0.06364223101373043
BUY,688195.SH,267.267,300,80180.1,80.18010000000001,,多因子得分: 1.47,,
SELL,300750.SZ,396.59301,200,79318.602,79.318602,,多因子得分转负: -0.44,3908.006739999997,0.05182304590656001
BUY,688307.SH,70.53045999999999,1300,91689.59799999998,91.68959799999999,,多因子得分: 0.97,,
SELL,002594.SZ,103.03686,800,82429.488,82.429488,,多因子得分转负: -0.47,4842.546568000005,0.062414453755007065
SELL,300502.SZ,456.543,200,91308.6,91.30860000000001,,多因子得分转负: -0.21,4956.153820000007,0.05739448086588075
BUY,688205.SH,205.77556999999996,500,102887.78499999997,102.88778499999998,,多因子得分: 0.73,,
SELL,300308.SZ,597.402,100,59740.200000000004,59.74020000000001,,多因子得分转负: -0.28,-1582.2611999999936,-0.025802310752654423
BUY,002371.SZ,469.3088399999999,200,93861.76799999998,93.86176799999998,,多因子得分: 0.65,,
SELL,688307.SH,68.28165,1300,88766.145,88.76614500000001,,多因子得分转负: -0.42,-3015.1425979999767,-0.03285138699738268
SELL,688205.SH,183.816,500,91908.0,91.908,,多因子得分转负: -0.27,-11082.672784999973,-0.1076085094437222
SELL,002371.SZ,446.553,200,89310.6,89.31060000000001,,多因子得分转负: -0.50,-4645.0297679999785,-0.04943854646570644
BUY,688307.SH,76.67659999999998,1600,122682.55999999997,122.68255999999997,,多因子得分: 0.46,,
BUY,300394.SZ,333.66333,300,100098.999,100.09899899999999,,多因子得分: 0.33,,
SELL,300394.SZ,322.47720000000004,300,96743.16000000002,96.74316000000002,,多因子得分转负: -0.25,-3455.9379989999725,-0.03449070967719154
BUY,688205.SH,247.45720999999998,400,98982.88399999999,98.982884,,多因子得分: 1.45,,
SELL,688195.SH,338.59107,300,101577.321,101.577321,2026-04-03,清仓,21317.040899999993,0.26559888494583
SELL,688307.SH,86.90301,1600,139044.816,139.044816,2026-04-03,清仓,16239.573440000022,0.13223843788318498
SELL,688205.SH,246.96279,400,98785.11600000001,98.78511600000002,2026-04-03,清仓,-296.7508839999791,-0.0029950069910107766
