date,equity,cash,positions
2025-11-05,1000000.0,1000000.0,0
2025-11-06,1000000.0,1000000.0,0
2025-11-07,1000000.0,1000000.0,0
2025-11-10,1000000.0,1000000.0,0
2025-11-11,1000000.0,1000000.0,0
2025-11-12,1000000.0,1000000.0,0
2025-11-13,1000000.0,1000000.0,0
2025-11-14,1000000.0,1000000.0,0
2025-11-17,1000000.0,1000000.0,0
2025-11-18,1000000.0,1000000.0,0
2025-11-19,1000000.0,1000000.0,0
2025-11-20,1000000.0,1000000.0,0
2025-11-21,1000000.0,1000000.0,0
2025-11-24,1000000.0,1000000.0,0
2025-11-25,1000000.0,1000000.0,0
2025-11-26,1000000.0,1000000.0,0
2025-11-27,1000000.0,1000000.0,0
2025-11-28,1000000.0,1000000.0,0
2025-12-01,1000000.0,1000000.0,0
2025-12-02,1000000.0,1000000.0,0
2025-12-03,1000000.0,1000000.0,0
2025-12-04,1000375.827486,855196.827486,1
2025-12-05,1002119.359306,746800.359306,2
2025-12-08,1004383.359306,746800.359306,2
2025-12-09,1003776.359306,746800.359306,2
2025-12-10,999502.9841740001,635445.9841740001,3
2025-12-11,991136.9841740001,635445.9841740001,3
2025-12-12,992747.42356,846409.42356,1
2025-12-15,987502.6797440001,734369.6797440001,2
2025-12-16,985873.2525290002,876869.2525290002,1
2025-12-17,988537.2525290002,876869.2525290002,1
2025-12-18,976567.7215040002,394881.72150400025,6
2025-12-19,988385.1268510004,290019.3108510003,8
2025-12-22,988805.1478930003,394851.3318930003,7
2025-12-23,982620.2764880003,433176.46048800024,7
2025-12-24,989611.9443460002,384938.1283460002,8
2025-12-25,987949.9443460002,384938.1283460002,8
2025-12-26,984811.9443460002,384938.1283460002,8
2025-12-29,981216.1393160003,519638.3233160002,7
2025-12-30,977227.9898690003,489951.27986900025,7
2025-12-31,976908.2245230003,416458.5145230003,8
2026-01-05,991388.7713810002,495158.87738100026,7
2026-01-06,1004433.9779260003,503446.0839260003,7
2026-01-07,1014085.1035260003,428897.2095260003,8
2026-01-08,1009596.1035260003,428897.2095260003,8
2026-01-09,1009631.1035260003,428897.2095260003,8
2026-01-12,1033203.1035260003,428897.2095260003,8
2026-01-13,1024601.1035260003,428897.2095260003,8
2026-01-14,1026172.2489780003,478250.3549780003,7
2026-01-15,1030992.1038800003,423042.1038800003,8
2026-01-16,1030771.1038800003,423042.1038800003,8
2026-01-19,1025417.1038800003,423042.1038800003,8
2026-01-20,1017048.6532410004,693860.6532410004,4
2026-01-21,1046314.2561950005,388204.2561950005,8
2026-01-22,1046019.7434760005,437386.7434760005,7
2026-01-23,1044470.5721190005,515621.5721190005,7
2026-01-26,1034809.6496950005,441048.6496950005,8
2026-01-27,1044649.6496950005,441048.6496950005,8
2026-01-28,1050440.6496950006,441048.6496950005,8
2026-01-29,1028785.4228730005,569968.4228730005,6
2026-01-30,1019998.9231360005,731300.9231360005,4
2026-02-02,998890.0711160006,478518.07111600065,7
2026-02-03,1018911.6505760007,577603.6505760007,6
2026-02-04,1021568.2628500006,505436.2628500007,7
2026-02-05,987493.7036140007,537832.7036140007,6
2026-02-06,979401.2898650006,485607.28986500064,7
2026-02-09,993979.6033840007,548723.6033840007,6
2026-02-10,988395.9759880006,472918.9759880007,7
2026-02-11,984365.8394550007,402244.8394550007,8
2026-02-12,1004615.3132880006,541798.3132880006,6
2026-02-13,998662.7784020007,466480.77840200067,7
2026-02-24,1007113.5915240006,467334.5915240006,7
2026-02-25,993929.5215240007,397194.5215240006,8
2026-02-26,994831.2811790006,466710.2811790006,7
2026-02-27,1009695.7051890006,470437.70518900064,7
2026-03-02,989850.4051690006,474128.4051690006,7
2026-03-03,972451.2587260007,529310.2587260007,6
2026-03-04,965110.6880620008,761626.6880620008,3
2026-03-05,952560.7247210008,479722.72472100076,6
2026-03-06,946655.1014610007,376256.10146100074,8
2026-03-09,967033.1014610007,376256.10146100074,8
2026-03-10,962452.0485370008,475134.0485370008,6
2026-03-11,998322.1051170009,371507.1051170008,8
2026-03-12,1016125.1051170009,371507.1051170008,8
2026-03-13,999136.1051170009,371507.1051170008,8
2026-03-16,995133.1051170009,371507.1051170008,8
2026-03-17,979454.4000560008,544100.4000560008,6
2026-03-18,974564.5639980009,655282.5639980009,5
2026-03-19,973560.550162001,480834.550162001,7
2026-03-20,979964.955860001,490226.955860001,7
2026-03-23,971268.464704001,486790.464704001,7
2026-03-24,973798.025711001,541399.025711001,6
2026-03-25,981730.9996500011,432962.99965000106,7
2026-03-26,967573.610486001,371676.61048600107,8
2026-03-27,978426.9603980011,545240.9603980011,6
2026-03-30,968730.6310760012,459492.6310760012,7
2026-03-31,958384.3335110013,531511.3335110013,6
2026-04-01,967588.2350330013,388748.23503300134,8
2026-04-02,967845.2350330013,388748.23503300134,8
2026-04-03,976530.0896390013,455221.08963900135,7
