type,symbol,price,quantity,value,commission,date,reason,pnl,pnl_rate
BUY,300570.SZ,125.22509999999998,1500,187837.64999999997,187.83764999999997,,多因子得分: 1.98,,
BUY,300394.SZ,248.67843,600,149207.058,149.207058,,多因子得分: 1.79,,
BUY,688205.SH,166.16599999999997,700,116316.19999999998,116.31619999999998,,多因子得分: 1.43,,
BUY,300502.SZ,439.43899999999996,200,87887.79999999999,87.88779999999998,,多因子得分: 1.80,,
BUY,688195.SH,247.24699999999999,300,74174.09999999999,74.1741,,多因子得分: 1.34,,
SELL,300502.SZ,382.617,200,76523.40000000001,76.52340000000001,,多因子得分转负: -0.99,-11452.287799999976,-0.1301755983543442
SELL,688205.SH,165.19464000000002,700,115636.24800000002,115.63624800000002,,多因子得分转负: -0.39,-796.2681999999622,-0.006838881662852549
SELL,688195.SH,220.78898999999998,300,66236.697,66.236697,,多因子得分转负: -0.51,-8011.577099999995,-0.10790253641734139
BUY,688195.SH,243.74349999999998,500,121871.74999999999,121.87174999999999,,多因子得分: 0.32,,
BUY,688981.SH,116.3162,800,93052.95999999999,93.05296,,多因子得分: 0.38,,
SELL,688195.SH,228.56121,500,114280.605,114.280605,,多因子得分转负: -0.67,-7713.016749999995,-0.06322475420728293
BUY,300474.SZ,72.71264,1400,101797.696,101.797696,,多因子得分: 0.82,,
BUY,002281.SZ,73.41333999999999,1100,80754.67399999998,80.75467399999998,,多因子得分: 0.71,,
SELL,300570.SZ,135.72414,1500,203586.21000000002,203.58621000000002,,多因子得分转负: -0.60,15560.722350000055,0.08275857993766016
BUY,688205.SH,185.59541,600,111357.246,111.357246,,多因子得分: 1.00,,
SELL,300394.SZ,334.22544,600,200535.264,200.535264,,多因子得分转负: -0.62,51178.998942000006,0.342663891080334
SELL,688981.SH,108.20169,800,86561.352,86.561352,,多因子得分转负: -0.44,-6584.660959999994,-0.07069181761786913
SELL,300474.SZ,67.96197000000001,1400,95146.75800000002,95.14675800000002,,多因子得分转负: -0.60,-6752.735695999974,-0.06626858928411976
BUY,300502.SZ,401.64124,400,160656.49599999998,160.65649599999998,,多因子得分: 0.80,,
SELL,688205.SH,168.831,600,101298.59999999999,101.2986,,多因子得分转负: -0.59,-10170.003246000007,-0.09123648229049604
BUY,688981.SH,107.38727999999999,1400,150342.19199999998,150.34219199999998,,多因子得分: 0.33,,
BUY,688195.SH,238.03779999999998,500,119018.9,119.0189,,多因子得分: 0.68,,
SELL,300502.SZ,378.39123,400,151356.492,151.356492,,多因子得分转负: -0.61,-9460.660495999997,-0.05882867809287515
BUY,300502.SZ,413.64322999999996,300,124092.96899999998,124.09296899999998,,多因子得分: 0.84,,
BUY,300308.SZ,562.2617,100,56226.17,56.226169999999996,,多因子得分: 0.69,,
SELL,002281.SZ,83.4165,1100,91758.15,91.75815,,多因子得分转负: -0.37,10922.721326000014,0.13512294677189252
SELL,688195.SH,211.788,500,105894.0,105.894,,多因子得分转负: -0.92,-13243.91889999999,-0.11116459832672124
BUY,688195.SH,234.34411,500,117172.055,117.172055,,多因子得分: 0.57,,
SELL,688981.SH,97.94196000000001,1400,137118.744,137.11874400000002,,多因子得分转负: -0.81,-13373.790191999986,-0.08886680169089027
BUY,688205.SH,205.77556999999996,600,123465.34199999998,123.46534199999998,,多因子得分: 0.89,,
SELL,300502.SZ,446.96259000000003,300,134088.777,134.088777,,多因子得分转负: -0.55,9871.715031000014,0.07947149026486902
BUY,002281.SZ,88.18809999999999,1500,132282.15,132.28215,,多因子得分: 0.57,,
SELL,300308.SZ,568.84059,100,56884.059,56.884059,,多因子得分转负: -0.44,601.6628300000011,0.01069007133567464
BUY,300394.SZ,333.66333,300,100098.999,100.09899899999999,,多因子得分: 0.43,,
SELL,002281.SZ,83.8161,1500,125724.15000000001,125.72415000000001,,多因子得分转负: -0.60,-6690.282149999999,-0.05052532447838616
BUY,002281.SZ,90.48038999999999,1400,126672.54599999997,126.67254599999997,,多因子得分: 0.71,,
SELL,688195.SH,338.59107,500,169295.535,169.295535,2026-04-03,清仓,52006.30794500001,0.44340225654836046
SELL,688205.SH,246.96279,600,148177.674,148.177674,2026-04-03,清仓,24588.866658000028,0.19895706728487733
SELL,300394.SZ,333.52614,300,100057.842,100.05784200000001,2026-04-03,清仓,-141.25599899998633,-0.001409753199588644
SELL,002281.SZ,90.29961,1400,126419.454,126.419454,2026-04-03,清仓,-379.7645459999767,-0.002995006991010804
